City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches (Last 3 hrs),Snow Inches (Last 3 hrs)
51,Hami,CN,2019-11-08 19:33:55,42.84,93.51,31.33,37,10,8.68,Clear sky,0.0,0.0
52,Sukumo,JP,2019-11-08 19:33:56,32.94,132.72,56.01,68,0,6.46,Clear sky,0.0,0.0
53,Faya,SA,2019-11-08 19:33:56,18.39,42.45,64.4,82,40,1.01,Scattered clouds,0.0,0.0
54,Salalah,OM,2019-11-08 19:33:56,17.01,54.1,80.6,78,20,2.24,Few clouds,0.0,0.0
55,San Cristobal,HN,2019-11-08 19:33:56,14.68,-86.92,76.14,78,62,4.54,Moderate rain,4.75,0.0
56,Cayenne,GF,2019-11-08 19:30:04,4.94,-52.33,82.4,83,75,13.87,Broken clouds,0.0,0.0
57,Port Alfred,ZA,2019-11-08 19:33:57,-33.59,26.89,60.01,79,100,4.81,Overcast clouds,0.0,0.0
58,Sao Joao Da Barra,BR,2019-11-08 19:33:57,-21.64,-41.05,86.0,58,40,16.11,Scattered clouds,0.0,0.0
59,Bambous Virieux,MU,2019-11-08 19:33:57,-20.34,57.76,69.8,77,20,3.36,Few clouds,0.0,0.0
60,Qaanaaq,GL,2019-11-08 19:33:58,77.48,-69.36,-4.49,58,0,6.42,Clear sky,0.0,0.0
61,Okhotsk,RU,2019-11-08 19:33:58,59.36,143.24,19.72,71,68,20.8,Broken clouds,0.0,0.0
62,Sur,OM,2019-11-08 19:33:58,22.57,59.53,72.66,49,0,1.36,Clear sky,0.0,0.0
63,Kavieng,PG,2019-11-08 19:33:59,-2.57,150.8,83.46,78,100,11.88,Light rain,2.25,0.0
64,Nara,JP,2019-11-08 19:33:59,34.68,135.8,46.99,76,0,1.99,Clear sky,0.0,0.0
65,Palana,RU,2019-11-08 19:34:00,59.08,159.95,34.43,80,36,28.95,Light rain,0.13,0.0
66,Shache,CN,2019-11-08 19:34:00,38.42,77.24,41.0,51,50,2.24,Scattered clouds,0.0,0.0
67,Strezhevoy,RU,2019-11-08 19:34:00,60.73,77.6,-0.41,77,100,6.71,Overcast clouds,0.0,0.0
68,Hithadhoo,MV,2019-11-08 19:34:00,-0.6,73.08,81.99,72,1,7.18,Clear sky,0.0,0.0
69,Kirakira,SB,2019-11-08 19:34:01,-10.46,161.92,77.7,82,100,4.09,Overcast clouds,0.0,0.0
70,Nikolskoye,RU,2019-11-08 19:34:01,59.7,30.79,32.0,98,90,2.24,Mist,0.0,0.0
71,Tonantins,BR,2019-11-08 19:34:01,-2.86,-67.77,83.82,80,100,1.97,Light rain,2.38,0.0
72,Las Lomas,PE,2019-11-08 19:34:01,-4.66,-80.24,88.25,34,29,10.63,Scattered clouds,0.0,0.0
73,Churu,IN,2019-11-08 19:34:02,28.3,74.97,70.27,45,1,9.24,Clear sky,0.0,0.0
74,Hilo,US,2019-11-08 19:26:31,19.71,-155.08,81.0,54,1,4.7,Clear sky,0.0,0.0
75,Lebu,ET,2019-11-08 19:34:02,8.96,38.73,52.99,67,100,0.96,Overcast clouds,0.0,0.0
76,Aksu,KZ,2019-11-08 19:34:02,52.04,76.93,39.2,86,90,17.9,Overcast clouds,0.0,0.0
77,Ponta Do Sol,BR,2019-11-08 19:34:03,-20.63,-46.0,71.62,85,100,6.76,Light rain,1.88,0.0
78,Fairbanks,US,2019-11-08 19:29:05,64.84,-147.72,17.6,78,1,9.17,Clear sky,0.0,0.0
79,Namibe,AO,2019-11-08 19:34:03,-15.19,12.15,74.48,81,65,10.51,Broken clouds,0.0,0.0
80,Puerto Carreno,CO,2019-11-08 19:32:24,6.19,-67.49,93.2,49,40,6.93,Shower rain,0.0,0.0
81,Mataura,NZ,2019-11-08 19:34:04,-46.19,168.86,55.0,93,99,4.0,Overcast clouds,0.0,0.0
82,Tateyama,JP,2019-11-08 19:34:04,36.66,137.31,43.0,71,0,2.37,Clear sky,0.0,0.0
83,Bilma,NE,2019-11-08 19:34:05,18.69,12.92,79.21,16,0,6.87,Clear sky,0.0,0.0
84,Estremoz,PT,2019-11-08 19:34:05,38.84,-7.59,51.8,57,0,8.05,Clear sky,0.0,0.0
85,Tasiilaq,GL,2019-11-08 19:34:05,65.61,-37.64,33.8,80,100,41.38,Overcast clouds,0.0,0.0
86,Kruisfontein,ZA,2019-11-08 19:34:06,-34.0,24.73,55.09,85,61,6.71,Broken clouds,0.0,0.0
87,Itaituba,BR,2019-11-08 19:34:06,-4.26,-55.99,86.0,74,40,5.82,Scattered clouds,0.0,0.0
88,Sun Valley,US,2019-11-08 19:30:51,39.6,-119.78,62.01,20,1,4.94,Clear sky,0.0,0.0
89,Matadi,CD,2019-11-08 19:34:06,-5.83,13.46,78.04,87,93,3.8,Light rain,0.25,0.0
90,Nikolayevka,RU,2019-11-08 19:34:07,46.73,38.57,55.83,77,65,5.75,Broken clouds,0.0,0.0
91,Alyangula,AU,2019-11-08 19:34:07,-13.85,136.42,73.4,94,0,2.48,Clear sky,0.0,0.0
92,Hirara,JP,2019-11-08 19:34:08,24.8,125.28,70.47,74,0,23.4,Clear sky,0.0,0.0
93,Avarua,CK,2019-11-08 19:31:29,-21.21,-159.78,73.4,83,100,9.17,Moderate rain,4.13,0.0
94,Saskylakh,RU,2019-11-08 19:34:08,71.97,114.09,-18.12,95,56,11.01,Broken clouds,0.0,0.0
95,Lata,IN,2019-11-08 19:34:08,30.78,78.62,22.48,45,0,4.56,Clear sky,0.0,0.0
96,Khani,GE,2019-11-08 19:34:09,41.96,42.96,53.6,66,0,5.82,Clear sky,0.0,0.0
97,Sokoto,NG,2019-11-08 19:34:09,13.06,5.24,80.51,23,0,0.47,Clear sky,0.0,0.0
98,Muros,ES,2019-11-08 19:34:09,42.77,-9.06,54.0,100,40,2.24,Scattered clouds,0.0,0.0
99,Bunbury,GB,2019-11-08 19:34:10,53.12,-2.65,44.01,81,40,3.36,Scattered clouds,0.0,0.0
100,Trairi,BR,2019-11-08 19:34:10,-3.28,-39.27,79.21,64,98,6.51,Overcast clouds,0.0,0.0
101,Nanma,CN,2019-11-08 19:34:10,35.7,113.14,48.4,64,10,2.66,Clear sky,0.0,0.0
102,Cherskiy,RU,2019-11-08 19:34:10,68.75,161.3,8.78,69,68,1.01,Broken clouds,0.0,0.0
103,Georgetown,GY,2019-11-08 19:31:54,6.8,-58.16,86.0,79,40,6.93,Scattered clouds,0.0,0.0
104,Chapais,CA,2019-11-08 19:34:11,49.78,-74.86,19.4,73,90,8.05,Light snow,0.0,0.0
105,Makasar,ID,2019-11-08 19:34:11,-6.28,106.88,81.0,83,20,9.17,Few clouds,0.0,0.0
106,Lielvarde,LV,2019-11-08 19:34:12,56.72,24.81,43.0,100,90,5.82,Overcast clouds,0.0,0.0
107,Puerto Ayora,EC,2019-11-08 19:31:28,-0.74,-90.35,80.6,57,75,9.17,Broken clouds,0.0,0.0
108,San Juan,AR,2019-11-08 19:31:36,-31.54,-68.53,92.62,15,9,4.36,Clear sky,0.0,0.0
109,Adrar,DZ,2019-11-08 19:34:13,27.87,-0.29,69.8,22,7,11.41,Clear sky,0.0,0.0
110,Lagoa,PT,2019-11-08 19:34:13,37.14,-8.45,59.0,44,0,5.82,Clear sky,0.0,0.0
111,Sem,FR,2019-11-08 19:34:13,42.77,1.52,46.0,56,95,11.59,Light rain,2.0,0.0
112,Waingapu,ID,2019-11-08 19:34:13,-9.65,120.26,81.43,79,0,8.75,Clear sky,0.0,0.0
113,Vila,IT,2019-11-08 19:34:14,45.18,8.4,51.01,93,75,8.05,Broken clouds,0.0,0.0
114,Khatanga,RU,2019-11-08 19:34:14,71.98,102.47,-8.49,96,100,18.88,Light snow,0.0,0.25
115,Hamina,FI,2019-11-08 19:34:14,60.57,27.2,30.99,100,90,9.17,Overcast clouds,0.0,0.0
116,Port Lincoln,AU,2019-11-08 19:34:14,-34.72,135.86,52.07,63,39,8.57,Scattered clouds,0.0,0.0
117,Port Hardy,CA,2019-11-08 19:34:15,50.7,-127.42,50.0,81,90,4.7,Overcast clouds,0.0,0.0
118,Sim,BR,2019-11-08 19:34:15,-12.25,-38.93,76.3,69,26,9.01,Scattered clouds,0.0,0.0
119,Huaraz,PE,2019-11-08 19:34:15,-9.53,-77.53,47.88,81,90,6.8,Moderate rain,3.56,0.0
120,Cockburn Town,TC,2019-11-08 19:34:16,21.46,-71.14,84.2,74,40,9.17,Scattered clouds,0.0,0.0
121,Husavik,CA,2019-11-08 19:34:16,50.56,-96.99,28.99,75,100,10.0,Light snow,0.0,0.13
122,Jamestown,AU,2019-11-08 19:34:16,-33.21,138.6,42.89,76,6,8.08,Clear sky,0.0,0.0
123,Pevek,RU,2019-11-08 19:31:30,69.7,170.27,14.05,62,0,7.0,Clear sky,0.0,0.0
124,Reconquista,AR,2019-11-08 19:34:17,-29.14,-59.64,83.71,58,19,11.23,Few clouds,0.0,0.0
125,Tura,RU,2019-11-08 19:34:17,64.27,100.22,6.71,89,100,4.32,Overcast clouds,0.0,0.0
