City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Marsh Harbour,BS,2019-11-08 08:23:24,26.54,-77.06,78.1,77,23,3.91
70,Muroto,JP,2019-11-08 08:23:24,33.37,134.14,62.6,45,40,6.93
71,Villa Carlos Paz,AR,2019-11-08 08:23:24,-31.42,-64.5,59.0,77,0,5.82
72,Leshukonskoye,RU,2019-11-08 08:23:24,64.9,45.76,17.11,89,93,4.52
73,Yellowknife,CA,2019-11-08 08:23:25,62.45,-114.38,10.4,85,75,5.82
74,Jamestown,AU,2019-11-08 08:23:25,-33.21,138.6,52.36,54,2,13.65
75,Hithadhoo,MV,2019-11-08 08:23:25,-0.6,73.08,82.63,67,2,5.46
76,Mount Pleasant,US,2019-11-08 08:21:04,33.16,-94.97,48.2,76,90,8.05
77,Rosita,NI,2019-11-08 08:23:25,13.92,-84.4,71.2,99,100,3.31
78,Fortuna,US,2019-11-08 08:23:26,40.6,-124.16,48.2,93,90,3.47
79,Tsabong,BW,2019-11-08 08:23:26,-26.02,22.4,88.12,4,33,8.57
80,Sangueya,GN,2019-11-08 08:23:26,10.7,-14.37,81.34,84,29,3.2
81,Fonte Boa,BR,2019-11-08 08:23:26,-2.51,-66.09,73.54,89,100,1.54
82,Thompson,CA,2019-11-08 08:23:27,55.74,-97.86,10.4,78,90,1.68
83,Dingle,PH,2019-11-08 08:23:27,11.0,122.67,78.55,86,0,8.48
84,Kalmar,SE,2019-11-08 08:23:27,56.66,16.36,46.4,100,90,4.7
85,Weligama,LK,2019-11-08 08:23:27,5.97,80.42,83.5,75,66,8.7
86,Deputatskiy,RU,2019-11-08 08:23:27,69.3,139.9,-9.77,93,36,2.77
87,Hilo,US,2019-11-08 08:23:28,19.71,-155.08,73.4,73,1,8.05
88,Hofn,IS,2019-11-08 08:23:28,64.25,-15.21,41.36,64,100,18.92
89,Avarua,CK,2019-11-08 08:23:28,-21.21,-159.78,73.4,88,100,13.87
90,Nyrany,CZ,2019-11-08 08:23:28,49.71,13.21,39.2,100,90,3.36
91,Ornskoldsvik,SE,2019-11-08 08:23:29,63.29,18.72,26.6,73,99,5.82
92,Copacabana,BO,2019-11-08 08:23:29,-16.17,-69.08,47.59,73,3,4.14
93,Turayf,SA,2019-11-08 08:23:29,31.68,38.65,73.4,43,0,18.34
94,Tuy Hoa,VN,2019-11-08 08:20:14,13.08,109.3,79.03,72,100,24.49
95,Omsukchan,RU,2019-11-08 08:23:30,62.53,155.8,8.4,99,41,2.01
96,Tacna,PE,2019-11-08 08:23:30,-18.01,-70.25,62.6,100,90,3.36
97,Lagoa,PT,2019-11-08 08:23:30,37.14,-8.45,53.6,81,20,4.7
98,Antofagasta,CL,2019-11-08 08:23:30,-23.65,-70.4,59.0,87,90,4.7
99,Fairbanks,US,2019-11-08 08:23:29,64.84,-147.72,21.2,79,90,4.7
100,Mahebourg,MU,2019-11-08 08:23:31,-20.41,57.7,78.8,61,75,17.22
101,Banda Aceh,ID,2019-11-08 08:21:46,5.56,95.32,80.47,80,89,2.82
102,Wodonga,AU,2019-11-08 08:23:32,-36.12,146.89,55.4,62,4,11.41
103,Iqaluit,CA,2019-11-08 08:23:32,63.75,-68.52,12.2,78,5,17.22
104,Pevek,RU,2019-11-08 08:23:32,69.7,170.27,20.5,58,4,14.25
105,Bambous Virieux,MU,2019-11-08 08:23:33,-20.34,57.76,78.8,61,75,17.22
106,Nizwa,OM,2019-11-08 08:23:33,22.93,57.53,79.18,34,31,6.73
107,Mar Del Plata,AR,2019-11-08 08:23:33,-46.43,-67.52,46.29,42,0,8.14
108,Torbay,CA,2019-11-08 08:23:34,47.66,-52.73,39.2,72,90,11.41
109,Nelson Bay,AU,2019-11-08 08:23:34,-32.72,152.14,82.4,20,44,17.22
110,Sarangani,PH,2019-11-08 08:23:34,5.4,125.46,83.98,75,100,11.41
111,Rosa Zarate,EC,2019-11-08 08:23:34,0.33,-79.47,71.55,97,100,2.08
112,Labuhan,ID,2019-11-08 08:23:35,-2.54,115.51,88.18,59,98,3.65
113,Zitlala,MX,2019-11-08 08:23:35,17.69,-99.19,58.42,84,0,5.75
114,Nador,MA,2019-11-08 08:23:35,35.17,-2.93,60.8,63,40,23.04
115,Aripuana,BR,2019-11-08 08:23:36,-9.17,-60.63,71.91,99,100,1.95
116,Waipawa,NZ,2019-11-08 08:23:36,-39.94,176.59,56.03,94,0,0.49
117,Lakes Entrance,AU,2019-11-08 08:23:36,-37.88,147.99,54.21,64,9,29.62
118,Mogadishu,SO,2019-11-08 08:23:36,2.04,45.34,86.0,66,40,9.17
119,Ossora,RU,2019-11-08 08:23:37,59.24,163.07,37.08,80,48,18.25
120,Hobyo,SO,2019-11-08 08:23:37,5.35,48.53,86.36,59,19,9.4
121,Ponta Do Sol,BR,2019-11-08 08:23:37,-20.63,-46.0,68.7,93,100,1.66
122,Chuy,UY,2019-11-08 08:23:37,-33.69,-53.46,60.17,93,4,8.3
123,Mandan,US,2019-11-08 08:23:38,46.83,-100.89,19.4,92,1,8.05
124,Cidreira,BR,2019-11-08 08:23:38,-30.17,-50.22,68.23,86,0,5.37
125,Kedrovyy,RU,2019-11-08 08:23:38,56.17,91.82,41.0,56,40,13.42
126,Katsuura,JP,2019-11-08 08:23:38,33.93,134.5,60.8,51,20,5.82
127,Paamiut,GL,2019-11-08 08:23:38,61.99,-49.67,40.21,49,100,16.22
128,Sao Filipe,CV,2019-11-08 08:23:39,14.9,-24.5,74.07,80,100,16.6
129,Longyearbyen,NO,2019-11-08 08:23:39,78.22,15.63,17.6,67,20,8.05
130,Pucallpa,PE,2019-11-08 08:23:39,-8.38,-74.54,73.4,94,75,1.12
131,Mount Gambier,AU,2019-11-08 08:18:58,-37.83,140.78,51.8,57,40,17.22
132,Leningradskiy,RU,2019-11-08 08:23:39,69.38,178.42,18.41,81,83,15.7
133,Pisco,PE,2019-11-08 08:23:40,-13.71,-76.2,60.8,82,75,1.12
134,Manzhouli,CN,2019-11-08 08:23:40,49.6,117.43,25.83,81,44,3.44
135,Surt,LY,2019-11-08 08:23:40,31.21,16.59,68.61,61,0,4.72
136,Namatanai,PG,2019-11-08 08:23:40,-3.66,152.44,84.43,74,95,9.98
137,Arlit,NE,2019-11-08 08:23:40,18.74,7.39,92.08,10,0,9.66
138,Berdigestyakh,RU,2019-11-08 08:23:41,62.1,126.7,-5.1,95,0,4.05
139,Atar,MR,2019-11-08 08:23:41,20.52,-13.05,72.09,25,65,4.99
140,Oranjestad,AW,2019-11-08 08:23:29,12.52,-70.03,82.4,78,20,17.22
141,Tura,RU,2019-11-08 08:23:41,64.27,100.22,13.1,95,100,5.88
142,Dikson,RU,2019-11-08 08:23:42,73.51,80.55,-5.48,98,70,10.56
143,Bambanglipuro,ID,2019-11-08 08:23:42,-7.95,110.28,82.85,59,0,9.69
144,Lahaina,US,2019-11-08 08:23:42,20.87,-156.68,77.0,83,75,12.75
145,Saurimo,AO,2019-11-08 08:23:43,-9.66,20.4,78.8,61,7,4.7
146,Touros,BR,2019-11-08 08:23:43,-5.2,-35.46,73.4,88,40,3.36
147,Albany,US,2019-11-08 08:23:44,42.65,-73.75,26.6,73,1,4.88
148,Lewiston,US,2019-11-08 08:22:47,44.1,-70.21,33.8,68,90,8.34
149,Maniitsoq,GL,2019-11-08 08:23:44,65.42,-52.9,38.75,44,100,21.77
150,Namibe,AO,2019-11-08 08:23:44,-15.19,12.15,73.44,86,100,6.82
151,Kirakira,SB,2019-11-08 08:23:44,-10.46,161.92,76.98,87,94,4.76
152,Skjervoy,NO,2019-11-08 08:23:45,70.03,20.97,24.8,85,20,10.29
153,Nouadhibou,MR,2019-11-08 08:23:45,20.93,-17.03,66.2,82,53,13.87
154,Omboue,GA,2019-11-08 08:23:45,-1.57,9.26,86.36,66,100,2.98
155,Rio Cuarto,AR,2019-11-08 08:23:45,-33.13,-64.35,60.8,67,0,5.82
156,Hovd,NO,2019-11-08 08:23:45,63.83,10.7,23.0,85,75,4.7
157,Puerto Ayora,EC,2019-11-08 08:23:46,-0.74,-90.35,68.94,91,95,6.15
158,Natal,BR,2019-11-08 08:23:46,-5.81,-35.21,75.2,88,40,3.36
159,Beyneu,KZ,2019-11-08 08:23:46,45.32,55.19,51.28,55,37,11.16
160,Upernavik,GL,2019-11-08 08:23:46,72.79,-56.15,5.77,65,0,7.76
161,Liverpool,GB,2019-11-08 08:22:57,53.41,-2.98,41.0,80,0,6.93
162,Goderich,CA,2019-11-08 08:23:47,43.74,-81.71,22.51,95,91,3.89
163,Goulburn,AU,2019-11-08 08:23:47,-34.75,149.72,43.39,93,57,9.73
164,Tuktoyaktuk,CA,2019-11-08 08:23:47,69.44,-133.03,10.15,92,100,7.87
165,Boden,SE,2019-11-08 08:23:47,65.83,21.69,17.6,92,75,2.24
166,Norman Wells,CA,2019-11-08 08:23:48,65.28,-126.83,12.2,92,75,10.29
167,Egvekinot,RU,2019-11-08 08:23:48,66.32,-179.17,14.59,84,11,10.54
168,Mogzon,RU,2019-11-08 08:23:48,51.74,111.97,30.83,62,78,8.43
169,Izumo,JP,2019-11-08 08:23:48,35.37,132.75,60.8,58,20,12.75
170,Vardo,US,2019-11-08 08:23:48,39.62,-77.74,39.2,55,90,11.41
171,Port Elizabeth,US,2019-11-08 08:23:49,39.31,-74.98,42.8,64,1,10.29
