City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
290,Pacifica,US,71.01,Haze,37.61,-122.49,Holiday Inn Express & Suites Pacifica
292,Avera,US,64.4,Clear sky,33.19,-82.53,
293,Vanimo,PG,82.31,Overcast clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
294,Abu Zabad,SD,80.56,Clear sky,12.35,29.25,
296,Los Llanos De Aridane,ES,69.8,Broken clouds,28.66,-17.92,Valle Aridane
300,Banda Aceh,ID,72.46,Overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
304,Fomboni,KM,80.71,Scattered clouds,-12.28,43.74,Auberge les abou
305,Guanica,PR,87.01,Overcast clouds,17.97,-66.91,Copamarina Beach Resort & Spa
309,Nouakchott,MR,73.4,Overcast clouds,18.08,-15.98,Hôtel Iman
313,Correntina,BR,86.29,Clear sky,-13.34,-44.63,Hotel Pousada dos Sonhos
314,Luganville,VU,73.4,Scattered clouds,-15.51,167.18,The Espiritu Hotel
315,Vila Franca Do Campo,PT,66.2,Scattered clouds,37.72,-25.43,Pestana Bahia Praia
317,Bubaque,GW,83.97,Scattered clouds,11.28,-15.83,Casa Dora
318,Ahipara,NZ,66.99,Broken clouds,-35.17,173.16,Ahipara Holiday Park
322,Antofagasta,CL,64.4,Broken clouds,-23.65,-70.4,Holiday Inn Express Antofagasta
323,Doka,SD,80.13,Scattered clouds,13.52,35.76,
325,Agadez,NE,86.0,Clear sky,16.97,7.99,Auberge d'Azel
326,Pacific Grove,US,70.0,Clear sky,36.62,-121.92,Lovers Point Inn
327,Axim,GH,77.04,Clear sky,4.87,-2.24,AXIM BEACH RESORT AND SPA
330,Quatre Cocos,MU,69.8,Few clouds,-20.21,57.76,Emeraude Beach Attitude Hotel
331,Dinajpur,BD,71.28,Overcast clouds,25.63,88.63,Hotel Sahara
336,Mogadishu,SO,81.27,Overcast clouds,2.04,45.34,Olympic Hotel
337,Abnub,EG,71.6,Clear sky,27.27,31.15,سيد حسن عبد الرحمن
348,Pedernales,EC,76.68,Broken clouds,0.07,-80.05,L'Vanna Hotel
353,Iquitos,PE,89.6,Broken clouds,-3.75,-73.25,Cortez Malaga Techy Caroly
356,Mwene-Ditu,CD,69.26,Overcast clouds,-7.01,23.45,Hôtel Kamas
357,Sao Filipe,CV,74.14,Overcast clouds,14.9,-24.5,Tortuga B&B
359,Oussouye,SN,84.2,Overcast clouds,12.49,-16.54,Auberge du Routard
360,Kutum,SD,71.42,Clear sky,14.2,24.66,
363,Mersing,MY,78.85,Overcast clouds,2.43,103.84,Timotel Hotel
364,Santo Tomas,PH,77.0,Broken clouds,7.53,125.62,Coveco Pension House
366,Pithora,IN,62.94,Overcast clouds,21.25,82.52,Agrasen Bhawan Pithora
367,Gillette,US,60.01,Light rain,44.29,-105.5,National 9 Inn - Gillette WY
371,Constitucion,MX,68.0,Overcast clouds,23.99,-104.67,Hotel Posada San Agustin
373,Lehututu,BW,81.86,Overcast clouds,-23.92,21.83,
374,Bacolod,PH,73.2,Clear sky,10.68,122.95,Planta Hotel & Residences
378,Chicama,PE,68.0,Scattered clouds,-7.84,-79.15,Hotel Las Aldas
381,Agadir,MA,66.2,Clear sky,30.42,-9.58,Iberostar Founty Beach
383,Cairns,AU,70.0,Clear sky,-16.92,145.77,Mantra Trilogy
384,Suluq,LY,65.57,Clear sky,31.67,20.25,يوسف مشكان الفاخري
386,Manggar,ID,82.67,Clear sky,-2.88,108.27,Guest Hotel
387,Canilla,GT,62.01,Scattered clouds,15.17,-90.85,
389,Codrington,AU,69.8,Overcast clouds,-28.95,153.24,
395,Port Said,EG,69.24,Clear sky,25.34,30.55,
397,Santa Maria Del Oro,MX,63.73,Overcast clouds,25.95,-105.37,Hotel barraza
399,Opuwo,,74.5,Overcast clouds,-18.06,13.84,ABBA Guesthouse
402,Inyonga,TZ,74.48,Broken clouds,-6.72,32.06,Eden Rock Lodge
404,Alofi,NU,77.0,Broken clouds,-19.06,-169.92,Taloa Heights
405,Puerto Colombia,CO,89.6,Scattered clouds,10.99,-74.96,Hotel El Emigrante
408,Punta De Bombon,PE,62.06,Overcast clouds,-17.17,-71.79,Hotel Bedregal
410,Hualmay,PE,71.04,Clear sky,-11.1,-77.61,Hotel Restaurant Turístico Casablanca
412,Hambantota,LK,78.8,Scattered clouds,6.12,81.12,Bungalow 63
415,Raton,US,64.99,Clear sky,36.9,-104.44,Holiday Inn Express & Suites Raton
420,Boyuibe,BO,86.0,Few clouds,-20.43,-63.28,Residencial Eluzai
422,Sungai Besar,MY,78.8,Broken clouds,3.68,100.99,NIDA Rooms Sabak Bernam Comfort
424,Thai Binh,VN,68.0,Scattered clouds,20.45,106.33,Diamond Hotel
426,Diamantino,BR,82.51,Broken clouds,-14.4,-56.44,Hotel Delta
427,Winnemucca,US,61.0,Clear sky,40.97,-117.74,Winners Inn Casino
431,Kulu,CD,71.22,Broken clouds,3.47,23.69,
434,Osmena,PH,83.44,Scattered clouds,12.17,124.59,
435,Robertsport,LR,82.98,Few clouds,6.75,-11.37,Kwepunha Retreat
437,Shenjiamen,CN,62.22,Clear sky,29.96,122.3,Jinjiang Inn Zhoushan Putuo Shenjiamen
438,Umm Lajj,SA,76.77,Overcast clouds,25.02,37.27,Tanal Hotel Apartment
441,Mount Isa,AU,73.4,Broken clouds,-20.73,139.49,ibis Styles Mt Isa Verona
448,Chenghai,CN,62.6,Clear sky,23.46,116.77,Guangdong Hotel
449,Bojonegoro,ID,76.03,Clear sky,-7.15,111.88,Dewarna Hotel & Convention
450,Meulaboh,ID,79.92,Broken clouds,4.14,96.13,Kost Pria
453,Bonoua,CI,84.2,Scattered clouds,5.27,-3.6,Hotel Bon Samaritian
454,Port Blair,IN,81.75,Overcast clouds,11.67,92.75,Fortune Resort Bay Island
456,Sao Miguel Do Araguaia,BR,87.93,Overcast clouds,-13.28,-50.16,Hotel Executivo Palace
458,Imbituba,BR,77.0,Broken clouds,-28.24,-48.67,Praia Hotel Imbituba
459,Kieta,PG,81.72,Clear sky,-6.22,155.63,
460,Esmeralda,CL,73.4,Overcast clouds,-34.33,-70.9,Loteo el delirio
466,Port Hueneme,US,90.0,Clear sky,34.15,-119.2,Hampton Inn Channel Islands Harbor
467,Goure,NE,87.01,Clear sky,13.98,10.27,
470,Semporna,MY,77.0,Broken clouds,4.48,118.61,"Han Palace Hotel, Semporna, Sabah."
471,Nizwa,OM,65.07,Clear sky,22.93,57.53,Orient Apartments
475,Mangaratiba,BR,77.0,Light rain,-22.96,-44.04,Portobello Resort & Safari
477,Mobaye,CF,73.49,Overcast clouds,4.33,21.18,
478,Superior,US,70.0,Clear sky,39.95,-105.17,Hampton Inn Boulder/Louisville
479,Kariai,GR,63.0,Clear sky,37.3,22.5,Arhontiko Parnona
485,Mecca,SA,81.97,Broken clouds,21.43,39.83,Hotel Fairmont Makkah Clock Royal Tower
486,Banjar,ID,70.02,Overcast clouds,-7.37,108.54,Mandiri
487,Gwadar,PK,79.88,Clear sky,25.12,62.33,Sadaf Resort
489,Port Macquarie,AU,61.0,Broken clouds,-31.43,152.91,Rydges Port Macquarie
492,Mineros,BO,86.0,Scattered clouds,-17.12,-63.23,Residencial Imperial
497,Bambanglipuro,ID,71.47,Broken clouds,-7.95,110.28,Puri Brata
498,Oranjemund,ZA,60.26,Broken clouds,-28.55,16.43,Sperrgebiet Guest House
502,Brejo,BR,84.87,Overcast clouds,-3.68,-42.75,Hotel E Pousada Muypuras
504,Carauari,BR,86.16,Overcast clouds,-4.88,-66.9,Pousada Lobo
505,Rio Grande,BR,78.8,Scattered clouds,-32.03,-52.1,Swan Express Rio Grande
507,San Jose,HN,82.4,Broken clouds,14.25,-87.96,APUFRAM
511,Liwale,TZ,72.88,Scattered clouds,-9.8,37.92,Samoma Lodge
513,Condega,NI,77.0,Scattered clouds,13.36,-86.4,Pensión Baldovinos
516,Trat,TH,84.0,Overcast clouds,12.25,102.51,Hotel Toscana Trat
517,Katobu,ID,73.47,Clear sky,-4.94,122.53,La Ode Gombe
518,Delmas,HT,89.6,Few clouds,18.55,-72.29,Hotel NH Haiti El Rancho
520,Laguna,BZ,78.8,Broken clouds,16.17,-88.94,Laguna Maya Lodge
524,Misratah,LY,71.76,Clear sky,32.38,15.09,فندق الماسة
527,Acatic,MX,81.0,Scattered clouds,20.78,-102.91,RANCHO EL VENADO
529,Tougan,BF,88.16,Few clouds,13.07,-3.07,Hôtel SMAK
530,Mayahi,NE,83.48,Clear sky,13.95,7.67,
534,Cabedelo,BR,84.2,Broken clouds,-6.97,-34.84,Lua Mansa Pousada
536,Phuket,TH,77.0,Fog,7.89,98.4,Rome Place Hotel
541,Voi,KE,70.84,Broken clouds,-3.4,38.57,Voi Wildlife Lodge
543,Jodiya,IN,76.69,Clear sky,22.69,70.31,Bahucharaji Hotel
547,Ormara,PK,79.74,Clear sky,25.21,64.64,
551,Isabela,PH,70.3,Clear sky,10.2,122.99,Manolita
552,Kidal,ML,77.09,Clear sky,18.44,1.41,
554,Praia Da Vitoria,PT,64.4,Few clouds,38.73,-27.07,Hotel Branco I
